season,teamName,opponentName,games_played,wins,losses,win_rate
2015,Atlanta Hawks,Boston Celtics,3,2,1,0.6666666666666666
2015,Atlanta Hawks,Brooklyn Nets,4,4,0,1.0
2015,Atlanta Hawks,Charlotte Hornets,4,2,2,0.5
2015,Atlanta Hawks,Chicago Bulls,3,2,1,0.6666666666666666
2015,Atlanta Hawks,Cleveland Cavaliers,4,3,1,0.75
2015,Atlanta Hawks,Dallas Mavericks,2,2,0,1.0
2015,Atlanta Hawks,Denver Nuggets,2,1,1,0.5
2015,Atlanta Hawks,Detroit Pistons,4,3,1,0.75
2015,Atlanta Hawks,Golden State Warriors,2,1,1,0.5
2015,Atlanta Hawks,Houston Rockets,2,2,0,1.0
2015,Atlanta Hawks,Indiana Pacers,3,3,0,1.0
2015,Atlanta Hawks,Los Angeles Clippers,2,2,0,1.0
2015,Atlanta Hawks,Los Angeles Lakers,2,1,1,0.5
2015,Atlanta Hawks,Memphis Grizzlies,2,1,1,0.5
2015,Atlanta Hawks,Miami Heat,4,4,0,1.0
2015,Atlanta Hawks,Milwaukee Bucks,4,3,1,0.75
2015,Atlanta Hawks,Minnesota Timberwolves,2,2,0,1.0
2015,Atlanta Hawks,New Orleans Pelicans,2,1,1,0.5
2015,Atlanta Hawks,New York Knicks,3,2,1,0.6666666666666666
2015,Atlanta Hawks,Oklahoma City Thunder,2,1,1,0.5
2015,Atlanta Hawks,Orlando Magic,4,3,1,0.75
2015,Atlanta Hawks,Philadelphia 76ers,4,3,1,0.75
2015,Atlanta Hawks,Phoenix Suns,2,2,0,1.0
2015,Atlanta Hawks,Portland Trail Blazers,2,2,0,1.0
2015,Atlanta Hawks,Sacramento Kings,2,2,0,1.0
2015,Atlanta Hawks,San Antonio Spurs,2,0,2,0.0
2015,Atlanta Hawks,Toronto Raptors,4,1,3,0.25
2015,Atlanta Hawks,Utah Jazz,2,2,0,1.0
2015,Atlanta Hawks,Washington Wizards,4,3,1,0.75
2015,Boston Celtics,Atlanta Hawks,3,1,2,0.3333333333333333
2015,Boston Celtics,Brooklyn Nets,4,3,1,0.75
2015,Boston Celtics,Charlotte Hornets,4,2,2,0.5
2015,Boston Celtics,Chicago Bulls,4,1,3,0.25
2015,Boston Celtics,Cleveland Cavaliers,4,2,2,0.5
2015,Boston Celtics,Dallas Mavericks,2,0,2,0.0
2015,Boston Celtics,Denver Nuggets,2,2,0,1.0
2015,Boston Celtics,Detroit Pistons,3,2,1,0.6666666666666666
2015,Boston Celtics,Golden State Warriors,2,0,2,0.0
2015,Boston Celtics,Houston Rockets,2,0,2,0.0
2015,Boston Celtics,Indiana Pacers,4,3,1,0.75
2015,Boston Celtics,Los Angeles Clippers,2,0,2,0.0
2015,Boston Celtics,Los Angeles Lakers,2,1,1,0.5
2015,Boston Celtics,Memphis Grizzlies,2,1,1,0.5
2015,Boston Celtics,Miami Heat,4,1,3,0.25
2015,Boston Celtics,Milwaukee Bucks,3,1,2,0.3333333333333333
2015,Boston Celtics,Minnesota Timberwolves,2,1,1,0.5
2015,Boston Celtics,New Orleans Pelicans,2,2,0,1.0
2015,Boston Celtics,New York Knicks,4,3,1,0.75
2015,Boston Celtics,Oklahoma City Thunder,2,0,2,0.0
2015,Boston Celtics,Orlando Magic,4,2,2,0.5
2015,Boston Celtics,Philadelphia 76ers,4,4,0,1.0
2015,Boston Celtics,Phoenix Suns,2,1,1,0.5
2015,Boston Celtics,Portland Trail Blazers,2,1,1,0.5
2015,Boston Celtics,Sacramento Kings,2,1,1,0.5
2015,Boston Celtics,San Antonio Spurs,2,0,2,0.0
2015,Boston Celtics,Toronto Raptors,4,2,2,0.5
2015,Boston Celtics,Utah Jazz,2,2,0,1.0
2015,Boston Celtics,Washington Wizards,3,1,2,0.3333333333333333
2015,Brooklyn Nets,Atlanta Hawks,4,0,4,0.0
2015,Brooklyn Nets,Boston Celtics,4,1,3,0.25
2015,Brooklyn Nets,Charlotte Hornets,3,2,1,0.6666666666666666
2015,Brooklyn Nets,Chicago Bulls,4,1,3,0.25
2015,Brooklyn Nets,Cleveland Cavaliers,4,1,3,0.25
2015,Brooklyn Nets,Dallas Mavericks,2,1,1,0.5
2015,Brooklyn Nets,Denver Nuggets,2,2,0,1.0
2015,Brooklyn Nets,Detroit Pistons,3,2,1,0.6666666666666666
2015,Brooklyn Nets,Golden State Warriors,2,1,1,0.5
2015,Brooklyn Nets,Houston Rockets,2,0,2,0.0
2015,Brooklyn Nets,Indiana Pacers,3,2,1,0.6666666666666666
2015,Brooklyn Nets,Los Angeles Clippers,2,1,1,0.5
2015,Brooklyn Nets,Los Angeles Lakers,2,2,0,1.0
2015,Brooklyn Nets,Memphis Grizzlies,2,0,2,0.0
2015,Brooklyn Nets,Miami Heat,4,0,4,0.0
2015,Brooklyn Nets,Milwaukee Bucks,4,1,3,0.25
2015,Brooklyn Nets,Minnesota Timberwolves,2,1,1,0.5
2015,Brooklyn Nets,New Orleans Pelicans,2,0,2,0.0
